Array Design Name	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Comment[AdditionalFile:CDF]	HG-U133A.CDF
Comment[AdditionalFile:CDF]	HG-U133A.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-33
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133A [HG-U133A]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	genbank	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-33_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[blocks]	Composite Element Database Entry[interpro]	Composite Element Database Entry[locus]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[swall]	Composite Element Database Entry[unigene]	Composite Element Database Entry[genbank]	Composite Element Database Entry[omim]	Composite Element Database Entry[pfam]	Composite Element Database Entry[refseq]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[kegg]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
219111_s_at		Msa.6659.0_s_at	IPB000629	IPR001410	79039	ENSG00000123064	Q9BQ57	Hs.70582	19923595		DEAD	NM_024072	d1hv8a1					
219112_at		rc_AA901151_at	IPB003351	IPR001895	51735	ENSG00000158987	Q8VCK0	Hs.174795	20386206		PDZ	NM_016340						
219113_x_at		219113_x_at	IPB002225	IPR002347	51171	ENSG00000087076	Q9CWL3	Hs.18788	13623366		adh_short	NM_016246	d1hdca_	5.1.3.2				
219114_at		rc_AA819005_at			51161	ENSG00000088543	Q9UK00	Hs.21050				NM_016210						
219115_s_at		219115_s_at		IPR001187	53832	ENSG00000016402	Q96SH8	Hs.21814			Tissue_fac	NM_014432	d1fyhb1					
219116_s_at		219116_s_at		IPR005176	55208	ENSG00000150401	Q9NXR6	Hs.23618	14550461			NM_018185						
219117_s_at		rc_AI237009_at	IPB000774	IPR001179	51303	ENSG00000134285	FK11_MOUSE	Hs.24048	15277331		FKBP	NM_016594	d1fkl__					
219118_at		rc_AI237009_at	IPB000774	IPR001179	51303	ENSG00000134285	Q9D8P8	Hs.24048	15277331		FKBP	NM_016594	d1fkl__					
219119_at		rc_AI230753_at	IPB001163	IPR001163	51691	ENSG00000128534	O95777	Hs.241578	24655606		Sm	NM_016200	d1i8fa_					
219120_at		219120_at			80304	ENSG00000163026	Q9H6R7	Hs.24624	13376798			NM_025203						
219121_s_at		rc_AI179930_at		IPR003955	54845	ENSG00000104413	Q9NXL8	Hs.24743	23602026		rrm	NM_017697						
219122_s_at		219122_s_at			54974	ENSG00000113272	Q9CQT0	Hs.353090	12052862			NM_017872						
219123_at		219123_at	IPB001275	IPR003309	7775	ENSG00000167840	P97674	Hs.279914	22347831		SCAN	NM_014519						
219124_at		93980_at			80185	ENSG00000129696	Q8VE31	Hs.288716	13376691			NM_025115						
219125_s_at		X96618_s_at		IPR004316	55974	ENSG00000169241	Q9H389	Hs.292154	10047124		MtN3_slv	NM_018845						
219126_at		rc_AI072998_at		IPR001965	55274		Q8WUB8	Hs.7759	19747276		PHD	NM_018288						
219127_at		219127_at			79170	ENSG00000167183	Q9BU68	Hs.36529	13236561			NM_024320						
219128_at		219128_at	IPB000857	IPR000169	54980	ENSG00000115998	Q9H629	Hs.38681	19343907			NM_017880						
219129_s_at		aa709842_s_at			79685	ENSG00000164576	Q9CUZ7	Hs.405885	13375862			NM_024632						
219130_at		rc_AI072904_at			54482	ENSG00000122435	Q9NUP7	Hs.40337	11024704			NM_019083						
219131_at		1424213_at	IPB000537	IPR000537	29914		Q8N2S7	Hs.40834	21311819		UbiA	NM_013319						
219132_at		rc_AA946017_at			57161	ENSG00000139946	Q9H716	Hs.44038	10864063			NM_021255						
219133_at		114751_at	IPB000794	IPR001209	54995	ENSG00000151093	Q9D404	Hs.55781	20869653		ketoacyl-synt	NM_017897	d1kas_1	2.3.1.39				
219134_at		rc_AI103374_at	PR00489	IPR000832	64123	ENSG00000162618	Q9HBW9	Hs.57958	11545908		7tm_2	NM_022159						
219135_s_at	AL515916	102421_at			64788	ENSG00000103227	Q9UJI2	Hs.58362	12232455			NM_022773						
219136_s_at		102421_at			64788	ENSG00000103227	Q9H6G4	Hs.58362	12232455			NM_022773						
219137_s_at		1451572_a_at			56947	ENSG00000168958	Q9GZY8	Hs.7045	20070306			NM_020194						
219138_at	BC000606.1	1433688_x_at	IPB002101	IPR005824	9045	ENSG00000139239	Q9BYF6	Hs.406451	16753225		KOW	NM_003973						
219139_s_at	AF119868.1	U63146_s_at	IPB000566	IPR002449	5950		Q9P178	Hs.406268	20548126		lipocalin	NM_006744	d1aqb__	5.3.99.2				
219140_s_at		96047_at	IPB000566	IPR002449	5950		P02753	Hs.406268	20548126		lipocalin	NM_006744	d1aqb__	5.3.99.2				
219141_s_at		1369601_at	IPB001680	IPR000345	55626	ENSG00000110497	Q9NXE7	Hs.7995	12698017		WD40	NM_017749						
219142_at		rc_AI101455_at	PR00364	IPR005225	65997	ENSG00000128045	Q922H7	Hs.8035	13027612		ras	NM_023940						
219143_s_at		219143_s_at		IPR002775	54913	ENSG00000138626	Q9BUL9	Hs.8562	12803357			NM_017793						
219144_at		219144_at	IPB000903	IPR000387	78986	ENSG00000133878	Q9BTW0	Hs.8719	13128968		DSPc	NM_024025	d1vhra_					
219145_at		219145_at	IPB001359		79732	ENSG00000132006	Q9HAA0	Hs.94229	13375948			NM_024679						
219146_at		219146_at			79736		Q96QE5	Hs.94891	13375954			NM_024683						
219147_s_at		219147_s_at	IPB000850	IPR000764	54981	ENSG00000106733	Q91W63	Hs.98135	22477871			NM_017881	d1ak2_1	2.7.1.48				
219148_at		219148_at	IPB000095	IPR000719	55872	ENSG00000168078	Q9NYL7	Hs.104741	18490991		pkinase	NM_018492				CeRaf		
219149_x_at		219149_x_at		IPR004843	51163	ENSG00000138231	Q923B1	Hs.118194	14495721		Metallophos	NM_016216						
219150_s_at		U51013_at	PR00405	IPR001164	11033	ENSG00000105963	O88768	Hs.135183	19424252		ArfGap	NM_006869	d1dcqa2					
219151_s_at		219151_s_at	IPB000251	IPR005225	11158	ENSG00000079974	Q9UNT1	Hs.355874	5902038		ras	NM_007081						
219152_at		rc_AI100775_at	IPB001422		50512	ENSG00000114631	Q9NZ53	Hs.145416				NM_015720						
219153_s_at		rc_AA892993_at	IPB002861	IPR000884	79875	ENSG00000103725	Q96H81	Hs.170345	13376210		tsp_1	NM_024817						
219154_at		M95200_s_at	PR00364	IPR005225	54509	ENSG00000139725	Q8WVB1	Hs.96593	13633711		ras	NM_019034	d1mh1__					
219155_at		1428879_at	PR00391	IPR001666	26207	ENSG00000154217	Q96I07	Hs.333212	21715938		IP_trans	NM_012417	d1fvza_					
219156_at		219156_at	IPB003351	IPR001478	55333	ENSG00000133984	OM25_RAT	Hs.109654	22261816		PDZ	NM_018373	d1be9a_					
219157_at		219157_at	PR00501	IPR001798	11275	ENSG00000109466	KHL2_HUMAN	Hs.122967	21359896		BTB	NM_007246	d1k3ia3	1.1.3.9				
219158_s_at		164068_at		IPR001440	80155	ENSG00000164134	Q9H8P6	Hs.125034	13376640		TPR	NM_025085	d1fcha_					
219159_s_at		219159_s_at	PR01536	IPR003599	57823	ENSG00000026751	Q8ND32	Hs.132906	12619177			NM_021181						
219160_s_at		219160_s_at	IPB002934	IPR002934	64895	ENSG00000115421	Q9H7W6	Hs.146123	16306568		NTP_transf_2	NM_022894.1	d1f5aa1	2.7.7.19				
219161_s_at		219161_s_at			51192	ENSG00000089505	Q9UHN8	Hs.15159	6625672			NM_016326						
219162_s_at		98876_at	IPB000911	IPR000911	65003		Q96Q73	Hs.152738	13384980		Ribosomal_L11	NM_170738	d1mmsa1					
219163_at		219163_at	IPB001275	IPR000822	54811	ENSG00000171466	P97653	Hs.165948	22748661		zf-C2H2	NM_017656.1						
219164_s_at		rc_AA963848_at			55102	ENSG00000066739	Q96BY7	Hs.168241	21361678			NM_018036						
219165_at		219165_at	PR01222	IPR001781	64236		Q8TET9	Hs.379109	11611554		LIM	NM_021630.1						
219166_at		M65034_s_at			55172	ENSG00000165506	Q9CZC7	Hs.265960	15030261			NM_018139						
219167_at		219167_at	PR00449	IPR001806	51285	ENSG00000103710	Q9NYN1	Hs.27018			ras	NM_016563.1						
219168_s_at		rc_AI231445_at	IPB000198	IPR001251	23779	ENSG00000077955	AAN40769	Hs.102336	7656904		RhoGAP	NM_017701.1	d2ngrb_					
219169_s_at		1449749_s_at	IPB001737	IPR003006	51106	ENSG00000029639	Q8WVM0	Hs.279908	12732332		RrnaAD	NM_016020.1	d1qama_	2.1.1.48				
219170_at		219170_at	PR01407	IPR003879	79187	ENSG00000105255	Q9BXN0	Hs.28144	13236585		SPRY	NM_024333						
219171_s_at		219171_s_at	IPB003649	IPR000822	7776	ENSG00000130856	Q9NWI2	Hs.283619	10092586		zf-C2H2	NM_007345						
219172_at		1382285_at	IPB000626	IPR000626	80019	ENSG00000165886	Q91WB7	Hs.285813	13376439		ubiquitin	NM_024954.1	d1cmxb_					
219173_at		aa212803_at		IPR001609	80022		Q8N374	Hs.286035				NM_024957.1						
219174_at		1387296_at	IPB000237	IPR005613	80173	ENSG00000096872	AAH23634	Hs.288617	13376669			NM_025103						
219175_s_at		219175_s_at		IPR002665	54946	ENSG00000114544	Q9HAB1	Hs.9096	10434382		MgtE	NM_017836.1						
219176_at		rc_AI030447_at			79568	ENSG00000162972	Q8WWC4	Hs.3592	13375660			NM_024520						
219177_at		aa275260_s_at			55299	ENSG00000113460	Q96DH1	Hs.38114	19311012			NM_018321						
219178_at		219178_at	IPB002616	IPR002616	79691	ENSG00000151576	Q9H974	Hs.45005	13375872		TGT	NM_024638.1	d1pud__					
219179_at		219179_at			51339	ENSG00000165617	Q9JK89	Hs.48950	24158474			NM_016651						
219180_s_at	AI817074	219180_s_at			55670	ENSG00000099989	Q9NXU0	Hs.5420	16740833			NM_017929						
219181_at		rc_AI030730_at	IPB000734	IPR002330	9388	ENSG00000101670	LIPE_HUMAN	Hs.65370	22001807		PLAT	NM_006033.1	d1hpla1	3.1.1.34				
219182_at		219182_at			79583	ENSG00000135702	Q9GZS9	Hs.6853	21362052			NM_024533		2.8.2.17				
219183_s_at		219183_s_at	IPB003159	IPR001849	27128	ENSG00000100055	Q9P124	Hs.7189	6572255		PH	NM_013385	d1bc9__					
219184_x_at		rc_AI103112_at	IPB003397	IPR003397	29928	ENSG00000108911	Q9JKW1	Hs.87595	18588220		Tim17	NM_013337						
219185_at		219185_at	IPB003000	IPR003000	23408	ENSG00000124523	Q9NXA8	Hs.8899	13787215		SIR2	NM_012241.2	d1icia_					
219186_at		219186_at			56976	ENSG00000126931	Q8TB76	Hs.91246	19387897			NM_020224						
219187_at		219187_at		IPR001440	63943		Q9H5G3	Hs.99134	17149853		TPR	NM_022110.1	d1elwa_					
219188_s_at		219188_s_at	IPB002620	IPR002589	28992	ENSG00000133315	Q9BQ69	Hs.10824	12653017		A1pp	NM_014067						
219189_at		219189_at		IPR003592	26233	ENSG00000104567	Q8N531	Hs.12271	10439422		F-box	NM_024555.1						
219190_s_at		219190_s_at	IPB003100	IPR003165	54791	ENSG00000134698	Q9H9G7	Hs.134757	10047199		Piwi	NM_017629						
219191_s_at		219191_s_at	IPB001359	IPR003005	51411	ENSG00000110934	Q9UBW5	Hs.14770	7705296		BAR	NM_016293						
219192_at		rc_AI145832_at	IPB002889	IPR000449	55833	ENSG00000137073	Q8NC94	Hs.14953	22325366		UBA	NM_018449						
219193_at		rc_AA956122_at	IPB001580	IPR001680	55100	ENSG00000082068	Q9H053	Hs.16079	12224837		WD40	NM_018034.1						
219194_at		219194_at		IPR003006	57715		Q9NTN9	Hs.169549	8923551			NM_017893						
219195_at		rc_AI059434_at	IPB000221	IPR000504	10891	ENSG00000109819	Q9QYK2	Hs.198468	5802182		rrm	NM_013261						
219196_at		rc_AI105265_at			29106	ENSG00000104112	Q8WXD2	Hs.22215	19557645			NM_013243						
219197_s_at	AI424243	219197_s_at	IPB002919			ENSG00000175356	Q9JJS0	Hs.105790	10190748		CUB	NM_020974	d1emo_1					
219198_at		219198_at			9329	ENSG00000125484	Q9UKN8	Hs.22302	20823538			NM_012204						
219199_at		rc_AA893534_at			27125		Q9ESC8	Hs.231967	17298672			NM_014423						
219200_at		163205_at			79072	ENSG00000124279	Q9BVD3	Hs.23856				NM_024091						
219201_s_at		rc_AI232984_at	IPB001169		57045	ENSG00000128791	Q8NBI7	Hs.247302	10190664			NM_020648						
219202_at		219202_at	IPB002610	IPR002610	79651	ENSG00000129667	Q8VIK0	Hs.25485	13375799		Rhomboid	NM_024599.1						
219203_at		rc_AI232900_at		IPR005366	51016	ENSG00000100908	CGX2_MOUSE	Hs.271614	18203630		UPF0172	NM_016049.1						
219204_s_at		93488_at	IPB001926	IPR001926	63826	ENSG00000167720	Q8N3F4	Hs.27335	11345492		PALP	NM_021947.1	d1tdj_1	4.2.99.8				
219205_at		rc_AI179967_at	IPB001926	IPR001926	63826	ENSG00000167720	SRR_HUMAN	Hs.27335	11345492		PALP	NM_021947	d1tdj_1	4.2.99.8				
219206_x_at		219206_x_at	IPB002199	IPR002199	51643	ENSG00000155957	Q96IG1	Hs.283670	15214407		UPF0005	NM_016056						
219207_at		219207_at		IPR004443	80153		Q96F86	Hs.288389	10437164		YjeF_N	NM_025083						
219208_at		219208_at			80204	ENSG00000138081	Q9H9L1	Hs.288836	13376713			NM_025133						
219209_at		aa177851_s_at	IPB000135	IPR001650	64135	ENSG00000115267	Q8VE79	Hs.293591	11545922		DEAD	NM_022168	d1hv8a1					
219210_s_at		1426800_at	IPB000795	IPR003579	51762		RB13_RAT	Hs.321245	23463313		ras	NM_016530.1	d1g16a_					
219211_at		rc_AI012397_at	IPB001394	IPR001394	11274	ENSG00000099996	UBPI_HUMAN	Hs.38260	14776897		UCH-1	NM_017414		2.4.2.29				
219212_at		1382345_at	IPB002821	IPR000169	51182	ENSG00000174112	Q99M31	Hs.44581	10047094		HSP70	NM_016299	d1hjoa1					
219213_at		rc_AI070367_at		IPR003600	58494	ENSG00000154721	P57087	Hs.54650	10864029		ig	NM_021219.1	d1f97a2					
219214_s_at		1417252_at	IPB001275		30833	ENSG00000146587	Q96HS6	Hs.67201	13430850		KRAB	NM_021163		3.1.3.5	MAP00760			
219215_s_at		rc_AA892331_at	IPB003689	IPR003689	55630	ENSG00000147804	Q9H6T8	Hs.352415	19115958		Zip	NM_017767						
219216_at		1457882_at			54465	ENSG00000143971	Q9NY74	Hs.82664	23956180			NM_019002						
219217_at		219217_at		IPR004364	79731	ENSG00000137513	Q96I59	Hs.90012	10440131		tRNA-synt_2	NM_024678.1						
219218_at		219218_at			79749	ENSG00000157629	Q9H5T5	Hs.98968	13375979			NM_024696						
219219_at		rc_AI030839_at			54958	ENSG00000130748	Q9BU41	Hs.105606	12804109			NM_017854						
219220_x_at		rc_AI072886_at			56945	ENSG00000175110	P82650	Hs.107127	13384904			NM_020191						
219221_at		219221_at	IPB001275	IPR000822	79779	ENSG00000138240	Q9H6F0	Hs.111092	13376034		zf-C2H2	NM_024724						
219222_at		rc_AA926253_at	PR00368	IPR002173	64080	ENSG00000171174	Q9H477	Hs.11916	11545855		pfkB	NM_022128	d1rkd__	2.7.4.7	MAP00030			
219223_at		1391011_at			11094	ENSG00000160325	Q8NBM6	Hs.119285	23618365			NM_017586						
219224_x_at		219224_x_at	IPB000822	IPR000822	79797	ENSG00000175213	PRDH_HUMAN	Hs.121590	13376064		zf-C2H2	NM_024741						
219225_at		219225_at			79605		Q8N414	Hs.12247	20888591			NM_024554						
219226_at		1455964_at	IPB001359	IPR002290	51755	ENSG00000167258	CRK7_HUMAN	Hs.278346	20521690		pkinase	NM_016507.1	d1jvpp_	2.7.1.38		CHED		
219227_at		219227_at			79616	ENSG00000135083	AAH35871	Hs.14070	13375735			NM_024565						
219228_at		219228_at	IPB001529	IPR001909	55422	ENSG00000130844	Q96MM9	Hs.147644	20127572		KRAB	NM_018555						
219229_at		Msa.21208.0_s_at	IPB002350	IPR004157	28232	ENSG00000140572	Q9GZV2	Hs.14805	11990591		OATP_C	NM_013272.2						
219230_at		L23148_g_at			55273	ENSG00000166292	Q9CQG9	Hs.173233	14603348			NM_018286						
219231_at		93911_at	IPB001566	IPR000051	96764	ENSG00000137574	Q96QU3	Hs.179909	19851925			NM_024831	d1vid__	2.1.1.41				
219232_s_at		1418649_at		IPR005123	112399	ENSG00000129521	Q91UZ4	Hs.18878	11545787		2OG-FeII_Oxy	NM_022073						
219233_s_at		219233_s_at			55876	ENSG00000073605	Q8TAX9	Hs.19054	7020479			NM_018530						
219234_x_at		219234_x_at			79634	ENSG00000144306	Q91WF6	Hs.20999	13375766			NM_024583						
219235_s_at		219235_s_at		IPR004018	65979		Q9H6X0	Hs.225641	12965189		RPEL	NM_023923						
219236_at		219236_at		IPR004254	79957	ENSG00000160781	Q8N3M2	Hs.235873	21739751			NM_024897						
219237_s_at		rc_AA925710_at		IPR002052	79982		Q9NXW2	Hs.266957	13376392			NM_024920						
219238_at		219238_at			55650	ENSG00000060642	Q9NUD9	Hs.26994	21361771		DUF409	NM_017837						
219239_s_at		219239_s_at	IPB000135	IPR000822	55279	ENSG00000175105	Q9DAU9	Hs.27595	23955470		zf-C2H2	NM_018293						
219240_s_at		219240_s_at		IPR003439	80007	ENSG00000119965	Q9D2Q3	Hs.282977	13376421			NM_024942						
219241_x_at		AA850372_at	IPB000387	IPR000340	54961	ENSG00000172830	Q9BQ20	Hs.29173	21753247		DSPc	NM_017857.1	d1mkp__					
219242_at		219242_at	IPB000237		80254		Q9H8F5	Hs.300876	10435387			NM_025180						
219243_at		219243_at			55303	ENSG00000133574	Q9NUV9	Hs.30822				NM_018326.1						
219244_s_at		c80107_rc_s_at			26589		Q8TER9	Hs.330275	12003262			NM_022163						
219245_s_at	AI309636	1367559_at		IPR005123	79676	ENSG00000111325	Q9H8K6	Hs.425608	13375846		2OG-FeII_Oxy	NM_024623						
219246_s_at		w36999_s_at		IPR005123	79676	ENSG00000111325	Q9DBJ4	Hs.425608	13375846		2OG-FeII_Oxy	NM_024623.1						
219247_s_at		aa216865_at			79683	ENSG00000130336	Q9H7F1	Hs.38270	24371241		zf-DHHC	NM_153746						
219248_at		219248_at	PR00507	IPR004114	80745	ENSG00000138050	Q969Z2	Hs.38399	12849794		UPF0020	NM_025264.1	d1g6q1_	2.1.1.51				
219249_s_at		L07063_s_at	IPB002048	IPR002048	60681	ENSG00000141756	Q9JHX5	Hs.3849	21361895		FKBP	NM_021939.1	d1fkl__					
219250_s_at		219250_s_at	PR00019	IPR003961	23767		Q9NZU0	Hs.41296	7019383		LRRNT	NM_013281.1						
219251_s_at		1381980_at		IPR001680	55112	ENSG00000126870	Q8WVS4	Hs.42233	21361687		WD40	NM_018051.1						
219252_s_at		219252_s_at			54960	ENSG00000046647	Q9NWZ8	Hs.44423	17451622			NM_017856						
219253_at		U10188_at			79134		Q96KE8	Hs.44680				NM_024121.1						
219254_at		219254_at			79701		AAH23602	Hs.54558	13375891			NM_024648						
219255_x_at		219255_x_at			55540		Q9NRL4	Hs.5470	21263748			NM_018725						
219256_s_at		219256_s_at		IPR001452	54436	ENSG00000125089	Q8TE82	Hs.61053	21361604		SH3	NM_018986						
219257_s_at		1420566_at		IPR001395	8877		Q9NYL3	Hs.68061	17369329		DAGKc	NM_021972						
219258_at		rc_AI176289_at			54962	ENSG00000075131	Q9D1J4	Hs.426696	12654113			NM_017858						
219259_at		219259_at	IPB002165	IPR003659	64218		SM4A_HUMAN	Hs.7634	20455289		PSI	NM_022367.1						
219260_s_at		219260_s_at			23587	ENSG00000169971	Q9BUB2	Hs.76907	12803841			NM_015362						
219261_at		rc_AI236570_s_at			79034	ENSG00000146576	Q96N11	Hs.81057	20848310			NM_024067						
219262_at		AA120542_at	IPB003888	IPR003606	79723	ENSG00000152455	Q9UI48	Hs.85567	13375930		SET	NM_024670	d1g6za_					
219263_at		219263_at		IPR003137	79589		Q9H5E4	Hs.9238	15011452		PA	NM_024539.1						
219264_s_at		Msa.40891.0_f_at		IPR002048	28227	ENSG00000167393	Q9I7J1	Hs.124942	19923229			NM_013239						
219265_at		219265_at		IPR005301	79817		Q8VE04	Hs.128905	13376101		Mob1_phocein	NM_024761.1						
219266_at		219266_at	IPB001275	IPR001909	59348	ENSG00000171032	Q9GZX5	Hs.130965	11056004		KRAB	NM_021632.1						
219267_at		c76925_rc_at			51228	ENSG00000139433	GLTP_HUMAN	Hs.381256	108302			NM_016433						
219268_at		219268_at	IPB002573	IPR002573	55224	ENSG00000143845	Q96G05	Hs.343154	14603244		Choline_kinase	NM_018208	d1j7la_	2.7.1.82				
219269_at		AA203803_s_at	IPB001356	IPR001356	79618	ENSG00000147421	Q96GS5	Hs.23590	13375738		homeobox	NM_024567						
219270_at		1451382_at			79094	ENSG00000128965	Q9BUX1	Hs.155569	13129126			NM_024111						
219271_at		219271_at	IPB001173	IPR001173	79623	ENSG00000158089	Q9BRH1	Hs.15830	13375744		Glycos_transf_2	NM_024572	d1xyfa1	2.4.1.41				
219272_at		rc_AA964319_at	IPB001841	IPR003879	55223	ENSG00000116525	Q9BVG3	Hs.15921	12654759		SPRY	NM_018207.1						
219273_at		219273_at					CYCK_HUMAN					NM_003858.1						
219274_at		rc_AA859957_at	IPB000301	IPR000301	23554	ENSG00000106025	Q8N5Y0	Hs.16529	21411499		transmembrane4	NM_012338.1						
219275_at		aa413205_s_at	IPB002836	IPR002836	9141	ENSG00000105185	PCD5_HUMAN	Hs.166468	4759224		DUF122	NM_004708	d1eija_					
219276_x_at		219276_x_at			79886	ENSG00000120159	Q8VDY9	Hs.178357	13376230			NM_024828						
219277_s_at		rc_AI058715_at		IPR005475	55753	ENSG00000107671	Q9NVA0	Hs.17860	20072238		E1_dehydrog	NM_018245		1.2.4.2				
219278_at		U02096_at	IPB000684	IPR002290	9064	ENSG00000142733	M3K6_HUMAN	Hs.194694	24497522		pkinase	NM_004672	d1f3mc_	2.7.1.38		NPK1		
219279_at		219279_at			55619	ENSG00000135905	Q8WX11	Hs.21126	15929125			NM_017718						
219280_at		rc_AI029179_at	IPB001680	IPR001680	54014		Q96QH0	Hs.225674	14970562		WD40	NM_033656	d1eqfa1					
219281_at		219281_at	IPB002569	IPR002569	4482		Q9D352	Hs.26458	6912516		PMSR	NM_012331	d1fvga_	1.8.4.6				
219282_s_at		1423965_at	IPB000906	IPR005821	51393	ENSG00000154039	Q9QYH8	Hs.279746	20127551	606676	ank	NM_016113						
219283_at		219283_at			29071		Q9JMG2	Hs.279938	17976701			NM_014158						
219284_at		rc_AI234834_at		IPR003347	79663		Q8NHH6	Hs.29169	21314714		jmjC	NM_024610.1						
219285_s_at		219285_s_at		IPR002048	51199	ENSG00000100503	Q9H5I6	Hs.44054	21930287		efhand	NM_020921					Q27480	
219286_s_at		1394617_at	IPB002004	IPR000504	64783	ENSG00000162775	Q96SC9	Hs.46670	14161373		rrm	NM_022768.1						
219287_at		219287_at	PR01450	IPR003930	27345	ENSG00000135643	Q9NY29	Hs.46784	20162578		CaKB	NM_014505						
219288_at		219288_at			57415	ENSG00000114405	Q9HBI5	Hs.47166	10190736			NM_020685						
219289_at		219289_at			55027	ENSG00000155393	Q8N525	Hs.50579				NM_017939.1						
219290_x_at		219290_x_at	PR00678	IPR001849	27071	ENSG00000070190	Q9UI50	Hs.62643	5733600		PH	NM_014395.1	d1d4ta_					
219291_at		219291_at		IPR005636	56986	ENSG00000104047	Q8WVG9	Hs.64641	21619691			NM_020234						
219292_at		U01344_g_at			55145	ENSG00000131931	Q9NVV9	Hs.7432	20861581			NM_018105						
219293_s_at		Msa.10958.0_f_at	PR00364	IPR006073	29789	ENSG00000138430	Q9NTK5	Hs.278877	24431969			NM_013341	d1egaa1					
219294_at		219294_at			55166	ENSG00000031691	Q9CX70	Hs.88663	17391241			NM_018132						
219295_s_at		Msa.3669.0_f_at	IPB001134	IPR003439	26577	ENSG00000163710	Q9BRH3	Hs.8944	22095011		CUB	NM_013363.1	d1sppa_					
219296_at		219296_at	IPB000906	IPR001594	54503		Q9NV30	Hs.95744	24298796		ank	NM_019028	d1awcb_					
219297_at		219297_at	IPB000009	IPR001680	54521		Q8NAU8	Hs.98510	21750583		WD40	NM_019045.1						
219298_at		219298_at	IPB001753	IPR001753	79746	ENSG00000134463	Q9D7J9	Hs.98855	10880787		ECH	NM_024693.1	d1ey3a_					
219299_at		1393409_at		IPR003402	55039	ENSG00000164982	Q96F21	Hs.9925	15079819		Met_10	NM_017956.1		2.1.1.32				
219300_s_at	NM_014141.1	219300_s_at	IPB000885	IPR006025	26047		Q9UDV4	Hs.106552	4240225		EGF	NM_014141	d1c4ra_					
219301_s_at	NM_014141.1	219301_s_at	IPB000885	IPR000561	26047		Q9UQ12	Hs.106552	4240225		EGF	NM_014141	d1c4ra_					
219302_s_at		219302_s_at	IPB000885	IPR000421	26047		Q9UDV4	Hs.106552	4240225		F5_F8_type_C	NM_014141	d1c4ra_					
219303_at		219303_at			79596	ENSG00000152193	Q9H0T2	Hs.10711	19584269			NM_024546						
219304_s_at		219304_s_at	IPB000859	IPR000531	80310	ENSG00000170962	Q9EQT1	Hs.112885	13376808		CUB	NM_025208.1	d1pdga_					
219305_x_at		rc_AI013703_at		IPR001810	26232	ENSG00000116661	Q8TB29	Hs.132753	13124236		F-box	NM_012168.1						
219306_at		219306_at	IPB000237	IPR001752	56992	ENSG00000163808	Q96JX7	Hs.150587	7512170		kinesin	NM_020242	d1goja_				Q27480	
219307_at		rc_AI233698_at			57107	ENSG00000164494	Q9NR58	Hs.16608	20858681			NM_020381		2.5.1.30				
219308_s_at		219308_s_at	IPB000623	IPR000850	26289		Q9JJN3	Hs.18268	22477787		adenylatekinase	NM_012093.1	d3adk__	2.7.4.3	MAP00230			
219309_at		rc_AI176621_at			79640		Q9H5C5	Hs.22195	13375777			NM_024588						
219310_at		1442107_at			79953	ENSG00000101463	CT39_HUMAN	Hs.233634	10862729			NM_024893						
219311_at		219311_at	IPB000583	IPR001680	79959	ENSG00000101624	Q8TAP6	Hs.236940	10434088			NM_024899						
219312_s_at		rc_AI010950_at	IPB000822	IPR000822	65986	ENSG00000154575	Q9H9H3	Hs.237146	15431285		BTB	NM_023929						
219313_at		219313_at			54762		Q8N6S0	Hs.24583	23271327			NM_017577						
